Student_ID,Name,Mode,Online_Rating,Offline_Rating,Internet_Issue,Performance,Preferred
61,Anusha883,Offline,5,3,No,77,Online
62,Arjun299,Offline,3,5,Yes,83,Offline
63,Shilpa455,Offline,3,5,Yes,72,Offline
64,Ganesh292,Offline,4,5,No,64,Offline
65,Ramesh714,Online,5,4,Yes,70,Online
66,Divya311,Online,2,3,No,86,Offline
67,Anusha221,Offline,5,3,Yes,88,Online
68,Swathi422,Offline,2,5,No,61,Offline
69,Anil635,Offline,5,5,Yes,72,Offline
70,Anil48,Offline,3,5,Yes,78,Offline
71,Bhavya819,Online,3,3,No,89,Offline
72,Priya320,Offline,2,4,Yes,88,Offline
73,Naresh547,Offline,5,5,Yes,64,Offline
74,Harika911,Offline,5,4,Yes,82,Online
75,Vijay190,Offline,4,5,Yes,83,Offline
76,Soujanya463,Offline,3,5,No,63,Offline
77,Nandini690,Offline,5,4,Yes,74,Online
78,Varun846,Offline,5,4,Yes,67,Online
79,Sneha118,Offline,3,4,No,88,Offline
80,Lahari809,Online,3,4,Yes,71,Offline
81,Swathi924,Offline,4,5,Yes,74,Offline
82,Ajay742,Online,4,4,Yes,71,Offline
83,Suresh71,Online,3,4,Yes,70,Offline
84,Sravani602,Online,5,4,No,66,Online
85,Keerthi467,Online,3,5,No,82,Offline
86,Arjun108,Online,3,5,Yes,88,Offline
87,Rahul751,Offline,3,3,Yes,70,Offline
88,Pooja139,Offline,4,4,Yes,84,Offline
89,Harika146,Offline,4,4,No,62,Offline
90,Mahesh968,Online,5,5,No,65,Offline
91,Rahul452,Offline,2,4,No,73,Offline
92,Charan910,Offline,5,3,No,83,Online
93,Arjun838,Offline,4,4,Yes,79,Offline
94,Rahul164,Online,5,5,Yes,73,Offline
95,Deepika707,Offline,5,3,No,87,Online
96,Soujanya638,Online,2,5,No,69,Offline
97,Priya725,Offline,2,4,Yes,64,Offline
98,Ajay496,Offline,5,5,No,74,Offline
99,Arjun659,Offline,2,5,Yes,76,Offline
100,Ajay471,Online,4,3,Yes,65,Online
101,Ganesh694,Online,3,5,Yes,71,Offline
102,Sravani168,Offline,4,5,No,61,Offline
103,Ajay157,Offline,2,5,No,72,Offline
104,Ramesh855,Offline,2,4,Yes,78,Offline
105,Mahesh340,Online,3,4,No,76,Offline
106,Soujanya446,Online,2,4,No,72,Offline
107,Sai333,Offline,4,4,No,81,Offline
108,Vijay381,Offline,4,4,No,68,Offline
109,Anil203,Offline,5,5,No,72,Offline
110,Harika566,Online,5,4,Yes,86,Online
111,Kiran262,Online,3,3,Yes,66,Offline
112,Teja901,Online,5,5,No,77,Offline
113,Suresh477,Offline,4,4,No,77,Offline
114,Ramesh121,Online,5,5,Yes,83,Offline
115,Nikhil445,Online,4,4,No,88,Offline
116,Nikhil121,Offline,5,3,No,73,Online
117,Pooja351,Offline,3,3,Yes,87,Offline
118,Naresh552,Online,2,4,No,84,Offline
119,Soujanya450,Online,3,5,Yes,68,Offline
120,Meghana639,Offline,3,4,Yes,66,Offline
121,Rahul828,Offline,2,3,Yes,81,Offline
122,Kiran335,Online,4,5,Yes,67,Offline
123,Ajay576,Online,3,3,Yes,79,Offline
124,Pooja643,Offline,4,5,Yes,66,Offline
125,Priya925,Online,3,4,Yes,75,Offline
126,Sai785,Offline,5,4,Yes,70,Online
127,Aishwarya216,Offline,2,3,Yes,76,Offline
128,Anil547,Offline,4,3,Yes,68,Online
129,Kiran62,Offline,5,5,Yes,77,Offline
130,Soujanya158,Offline,2,4,Yes,82,Offline
131,Divya158,Offline,3,4,No,71,Offline
132,Anusha736,Offline,4,4,No,64,Offline
133,Swathi214,Offline,2,4,Yes,67,Offline
134,Ravi291,Online,2,5,No,65,Offline
135,Sneha515,Offline,5,5,No,80,Offline
136,Rahul990,Offline,2,4,Yes,69,Offline
137,Vamsi292,Offline,3,4,Yes,66,Offline
138,Varun675,Online,2,5,No,79,Offline
139,Sai2,Online,4,5,Yes,64,Offline
140,Priya467,Online,3,5,Yes,76,Offline
141,Shilpa633,Online,4,5,No,81,Offline
142,Sneha460,Online,2,4,Yes,76,Offline
143,Vamsi813,Offline,5,3,Yes,85,Online
144,Aishwarya280,Offline,3,3,No,79,Offline
145,Anusha836,Offline,4,4,Yes,65,Offline
146,Kavya325,Offline,4,4,No,70,Offline
147,Keerthi897,Online,2,5,Yes,60,Offline
148,Sravani522,Online,5,3,Yes,77,Online
149,Charan39,Online,2,3,No,70,Offline
150,Anusha424,Online,3,3,No,89,Offline
151,Charan622,Offline,2,5,No,60,Offline
152,Kiran313,Online,4,4,Yes,90,Offline
153,Anil386,Offline,3,3,Yes,82,Offline
154,Arjun562,Offline,5,4,No,74,Online
155,Nandini938,Offline,5,3,No,80,Online
156,Nikhil615,Offline,4,3,No,85,Online
157,Nandini221,Offline,5,4,Yes,71,Online
158,Charan410,Offline,5,5,Yes,69,Offline
159,Suresh520,Online,5,3,No,82,Online
160,Nikhil332,Offline,4,4,No,84,Offline
161,Ajay82,Offline,2,5,No,79,Offline
162,Kavya764,Online,4,3,No,82,Online
163,Sravani35,Offline,2,4,No,62,Offline
164,Harika330,Offline,3,4,Yes,63,Offline
165,Varun282,Online,2,4,Yes,90,Offline
166,Pavan893,Offline,2,4,No,79,Offline
167,Teja665,Offline,5,4,Yes,87,Online
168,Swathi811,Online,3,4,Yes,60,Offline
169,Rahul263,Online,2,4,Yes,60,Offline
170,Sai192,Offline,2,5,Yes,71,Offline
171,Vijay626,Offline,3,3,No,67,Offline
172,Lahari151,Offline,2,3,No,66,Offline
173,Pooja10,Online,4,3,No,88,Online
174,Naresh828,Online,5,5,Yes,66,Offline
175,Ajay475,Online,5,3,No,88,Online
176,Lokesh952,Offline,4,3,Yes,60,Online
177,Sravani198,Offline,2,3,No,85,Offline
178,Swathi58,Offline,4,4,No,62,Offline
179,Ramesh288,Online,3,3,Yes,78,Offline
180,Divya927,Online,4,5,No,85,Offline
181,Charan314,Online,5,4,No,79,Online
182,Kavya839,Online,4,4,Yes,84,Offline
183,Nandini577,Online,3,4,Yes,75,Offline
184,Teja900,Online,4,5,No,87,Offline
185,Charan939,Online,5,4,No,74,Online
186,Vijay26,Offline,3,3,Yes,80,Offline
187,Ajay984,Offline,5,3,Yes,78,Online
188,Harika137,Online,3,4,No,70,Offline
189,Keerthi477,Offline,3,5,No,80,Offline
190,Naresh758,Online,5,4,No,90,Online
191,Ganesh861,Offline,3,3,Yes,81,Offline
192,Arjun787,Online,4,3,Yes,88,Online
193,Keerthi968,Online,5,5,Yes,85,Offline
194,Charan669,Online,3,5,Yes,67,Offline
195,Deepika221,Offline,4,3,No,61,Online
196,Divya379,Online,5,4,No,89,Online
197,Lokesh560,Online,4,5,Yes,71,Offline
198,Charan40,Online,2,3,Yes,62,Offline
199,Deepika272,Online,3,5,No,61,Offline
200,Lokesh847,Online,3,4,No,69,Offline
201,Lahari90,Online,2,5,Yes,60,Offline
202,Mahesh387,Offline,2,5,Yes,67,Offline
203,Vamsi678,Offline,3,5,No,64,Offline
204,Sneha339,Offline,5,4,Yes,82,Online
205,Pooja726,Offline,5,3,No,90,Online
206,Sneha102,Online,3,3,No,87,Offline
207,Lahari637,Offline,2,3,No,87,Offline
208,Lahari802,Offline,3,3,No,64,Offline
209,Mahesh813,Offline,3,5,Yes,63,Offline
210,Ravi42,Offline,5,3,No,83,Online
211,Varun990,Online,2,5,Yes,74,Offline
212,Anil164,Offline,4,4,No,67,Offline
213,Swathi968,Online,2,5,No,81,Offline
214,Swathi134,Offline,2,3,No,66,Offline
215,Bhavya923,Offline,2,3,No,72,Offline
216,Mahesh769,Offline,2,4,Yes,82,Offline
217,Lahari787,Online,4,3,No,73,Online
218,Naresh960,Online,5,3,No,68,Online
219,Deepika187,Online,2,3,Yes,83,Offline
220,Ganesh874,Offline,3,3,No,75,Offline
221,Naresh461,Offline,4,3,No,69,Online
222,Teja514,Offline,2,3,No,86,Offline
223,Aishwarya566,Offline,2,3,No,68,Offline
224,Sravani103,Online,2,4,No,72,Offline
225,Divya494,Online,4,5,No,79,Offline
226,Sneha175,Online,5,5,Yes,66,Offline
227,Soujanya287,Online,4,3,No,61,Online
228,Anil919,Offline,4,5,No,86,Offline
229,Arjun764,Online,5,3,Yes,84,Online
230,Lokesh233,Offline,4,5,No,68,Offline
231,Bhavya361,Offline,2,3,Yes,81,Offline
232,Suresh565,Offline,3,4,Yes,61,Offline
233,Arjun281,Offline,4,3,No,82,Online
234,Ramesh705,Online,3,5,Yes,77,Offline
235,Vamsi76,Offline,4,5,Yes,80,Offline
236,Lahari95,Offline,3,4,Yes,78,Offline
237,Ravi923,Offline,4,4,No,90,Offline
238,Sneha429,Online,2,5,Yes,62,Offline
239,Mahesh241,Online,3,5,Yes,67,Offline
240,Harika888,Online,2,3,Yes,71,Offline
241,Kavya641,Offline,5,5,Yes,60,Offline
242,Vijay501,Offline,5,3,Yes,68,Online
243,Swathi121,Online,5,5,Yes,66,Offline
244,Ramesh84,Offline,3,4,No,66,Offline
245,Harika444,Offline,2,4,Yes,68,Offline
246,Anil525,Offline,2,3,No,64,Offline
247,Anusha98,Offline,5,4,No,85,Online
248,Divya674,Online,2,5,No,81,Offline
249,Teja940,Online,3,4,Yes,90,Offline
250,Ravi681,Online,2,5,Yes,72,Offline
251,Ajay530,Offline,2,5,Yes,71,Offline
252,Soujanya988,Offline,2,3,Yes,76,Offline
253,Keerthi455,Online,5,4,No,79,Online
254,Shilpa126,Online,3,3,No,86,Offline
255,Deepika398,Online,3,4,Yes,62,Offline
256,Sneha85,Online,3,5,Yes,65,Offline
257,Pooja552,Offline,4,5,No,87,Offline
258,Naresh746,Online,2,3,Yes,73,Offline
259,Soujanya22,Offline,3,5,No,71,Offline
260,Sneha726,Offline,2,3,No,89,Offline
261,Aishwarya197,Online,3,3,No,84,Offline
262,Ravi15,Online,3,4,No,81,Offline
263,Keerthi323,Online,4,3,No,79,Online
264,Ganesh756,Offline,3,4,No,61,Offline
265,Swathi926,Offline,2,4,No,80,Offline
266,Pavan156,Offline,3,3,No,86,Offline
267,Nikhil248,Online,4,4,No,61,Offline
268,Ajay381,Offline,2,4,Yes,76,Offline
269,Priya920,Offline,2,4,No,90,Offline
270,Soujanya543,Online,5,4,Yes,63,Online
271,Vijay409,Offline,2,5,No,63,Offline
272,Harika721,Online,3,3,Yes,67,Offline
273,Keerthi291,Offline,3,4,Yes,85,Offline
274,Mahesh428,Online,3,3,No,85,Offline
275,Kavya393,Online,4,4,No,60,Offline
276,Vamsi750,Online,3,4,Yes,82,Offline
277,Ajay110,Offline,4,4,No,60,Offline
278,Sai284,Online,5,3,Yes,69,Online
279,Bhavya888,Offline,3,3,No,83,Offline
280,Mahesh894,Offline,4,4,No,87,Offline
281,Keerthi981,Online,2,5,No,74,Offline
282,Soujanya718,Online,3,4,No,74,Offline
283,Teja94,Offline,4,5,Yes,81,Offline
284,Ravi70,Offline,3,4,No,80,Offline
285,Sravani804,Offline,2,5,Yes,65,Offline
286,Lahari822,Online,5,4,No,88,Online
287,Lokesh367,Offline,2,3,Yes,70,Offline
288,Nikhil728,Offline,5,3,No,72,Online
289,Kavya787,Offline,4,3,Yes,81,Online
290,Sneha568,Online,5,5,No,68,Offline
291,Rahul320,Online,2,4,No,60,Offline
292,Nandini568,Offline,3,5,Yes,61,Offline
293,Anusha419,Offline,5,5,Yes,61,Offline
294,Meghana652,Online,5,4,No,79,Online
295,Bhavya770,Offline,4,4,Yes,82,Offline
296,Ganesh27,Online,4,5,No,78,Offline
297,Ajay541,Online,5,5,No,70,Offline
298,Pavan712,Online,2,4,No,79,Offline
299,Ajay264,Online,5,3,Yes,82,Online
300,Vijay69,Offline,2,4,Yes,81,Offline
301,Swathi528,Offline,3,4,No,60,Offline
302,Mahesh754,Online,4,5,Yes,75,Offline
303,Bhavya71,Offline,3,3,No,90,Offline
304,Ajay552,Offline,2,4,Yes,60,Offline
305,Naresh633,Offline,2,4,Yes,75,Offline
306,Pooja2,Offline,4,3,Yes,64,Online
307,Naresh360,Online,2,5,No,67,Offline
308,Rahul127,Online,4,5,No,77,Offline
309,Pavan569,Online,5,4,No,75,Online
310,Ravi248,Online,2,3,No,60,Offline
311,Vamsi73,Online,4,4,No,67,Offline
312,Aishwarya47,Online,3,3,No,86,Offline
313,Divya983,Online,4,4,No,77,Offline
314,Varun42,Online,4,4,Yes,86,Offline
315,Bhavya959,Offline,5,5,Yes,86,Offline
316,Varun656,Online,2,3,No,61,Offline
317,Ramesh757,Online,5,5,Yes,86,Offline
318,Vamsi294,Online,3,4,Yes,68,Offline
319,Nandini139,Online,2,3,Yes,63,Offline
320,Naresh685,Offline,4,4,No,73,Offline
321,Sravani564,Online,2,5,Yes,62,Offline
322,Sai17,Offline,2,3,Yes,88,Offline
323,Ramesh91,Offline,5,5,Yes,65,Offline
324,Suresh151,Offline,3,4,Yes,85,Offline
325,Charan992,Online,3,4,No,73,Offline
326,Swathi74,Offline,2,4,No,74,Offline
327,Deepika403,Offline,2,4,Yes,67,Offline
328,Sravani62,Offline,2,4,Yes,80,Offline
329,Charan369,Online,5,3,No,78,Online
330,Pooja759,Online,4,4,Yes,63,Offline
331,Rahul176,Online,2,3,Yes,63,Offline
332,Swathi843,Online,5,3,Yes,72,Online
333,Rahul897,Online,4,5,Yes,77,Offline
334,Teja594,Offline,3,4,Yes,89,Offline
335,Kavya929,Online,3,5,Yes,63,Offline
336,Divya769,Online,4,3,No,83,Online
337,Sai290,Online,2,4,No,76,Offline
338,Sravani663,Online,5,5,No,72,Offline
339,Varun702,Offline,5,5,Yes,73,Offline
340,Anusha529,Offline,5,3,No,61,Online
341,Teja741,Offline,4,5,No,77,Offline
342,Anusha737,Offline,4,4,No,69,Offline
343,Lahari75,Offline,3,5,Yes,64,Offline
344,Soujanya439,Online,2,5,Yes,88,Offline
345,Harika912,Offline,5,4,No,89,Online
346,Anusha393,Online,2,3,Yes,61,Offline
347,Arjun512,Offline,2,5,Yes,76,Offline
348,Nandini22,Offline,4,3,Yes,83,Online
349,Soujanya324,Offline,3,4,Yes,65,Offline
350,Ganesh828,Online,5,3,Yes,85,Online
351,Suresh803,Offline,5,4,No,73,Online
352,Meghana198,Online,2,3,Yes,86,Offline
353,Vijay18,Offline,3,5,No,65,Offline
354,Kiran693,Offline,5,3,Yes,66,Online
355,Shilpa197,Online,5,5,Yes,63,Offline
356,Meghana205,Online,5,5,No,79,Offline
357,Kavya649,Online,4,3,Yes,62,Online
358,Deepika464,Online,5,3,Yes,80,Online
359,Ravi133,Offline,2,4,Yes,66,Offline
360,Lokesh923,Online,5,4,Yes,75,Online
361,Kavya797,Online,5,3,Yes,80,Online
362,Harika873,Online,2,5,Yes,66,Offline
363,Lokesh772,Offline,4,3,Yes,66,Online
364,Suresh709,Online,5,5,No,83,Offline
365,Aishwarya52,Offline,5,4,No,73,Online
366,Anusha717,Online,5,4,No,86,Online
367,Meghana407,Offline,2,3,No,84,Offline
368,Keerthi252,Online,4,3,Yes,85,Online
369,Divya386,Offline,5,4,No,68,Online
370,Priya208,Offline,5,3,No,89,Online
371,Deepika723,Offline,4,3,Yes,64,Online
372,Shilpa215,Online,4,4,No,70,Offline
373,Teja57,Offline,4,3,Yes,90,Online
374,Keerthi900,Offline,3,4,Yes,76,Offline
375,Anusha377,Offline,3,3,No,86,Offline
376,Shilpa303,Offline,4,5,No,63,Offline
377,Rahul274,Online,4,4,No,71,Offline
378,Ramesh367,Offline,4,5,Yes,83,Offline
379,Naresh576,Online,3,4,No,85,Offline
380,Nikhil58,Online,2,5,Yes,78,Offline
381,Anil753,Offline,4,4,No,89,Offline
382,Rahul102,Online,5,5,No,71,Offline
383,Bhavya870,Offline,4,3,Yes,67,Online
384,Varun647,Online,3,5,No,77,Offline
385,Bhavya104,Online,2,4,No,76,Offline
386,Rahul811,Online,2,5,Yes,68,Offline
387,Kavya387,Online,5,3,Yes,75,Online
388,Ajay702,Offline,3,3,Yes,69,Offline
389,Pavan421,Online,2,5,Yes,70,Offline
390,Arjun86,Online,5,5,No,69,Offline
391,Ajay99,Offline,5,5,No,90,Offline
392,Sai932,Online,5,5,No,62,Offline
393,Aishwarya108,Online,5,4,Yes,79,Online
394,Vamsi244,Online,5,3,No,90,Online
395,Naresh31,Online,4,5,Yes,71,Offline
396,Kiran782,Online,3,4,Yes,69,Offline
397,Soujanya471,Online,5,3,No,76,Online
398,Shilpa274,Online,2,3,Yes,69,Offline
399,Sravani184,Offline,2,4,No,74,Offline
400,Lokesh102,Offline,4,3,No,74,Online
401,Lahari133,Online,5,3,Yes,90,Online
402,Meghana934,Online,4,4,Yes,66,Offline
403,Sravani91,Online,2,3,Yes,71,Offline
404,Sneha592,Online,4,3,No,86,Online
405,Keerthi596,Online,5,3,Yes,77,Online
406,Charan785,Offline,4,3,Yes,88,Online
407,Harika781,Offline,4,3,Yes,89,Online
408,Ramesh740,Offline,2,3,Yes,82,Offline
409,Varun806,Offline,3,5,Yes,70,Offline
410,Priya868,Offline,3,5,No,85,Offline
411,Suresh873,Offline,5,5,Yes,78,Offline
412,Sravani22,Offline,3,3,No,75,Offline
413,Divya327,Offline,4,5,Yes,75,Offline
414,Nikhil853,Offline,5,4,No,72,Online
415,Keerthi62,Offline,5,3,No,70,Online
416,Vijay88,Offline,2,3,No,82,Offline
417,Bhavya568,Offline,5,3,No,61,Online
418,Lahari133,Online,2,3,Yes,82,Offline
419,Charan364,Offline,2,3,Yes,67,Offline
420,Sai41,Online,2,4,Yes,84,Offline
421,Rahul423,Offline,2,3,No,76,Offline
422,Vijay142,Online,3,5,No,78,Offline
423,Aishwarya580,Offline,2,4,No,63,Offline
424,Divya304,Offline,5,3,Yes,87,Online
425,Nikhil948,Online,2,3,Yes,71,Offline
426,Ramesh424,Offline,2,3,No,79,Offline
427,Anil557,Online,2,4,No,69,Offline
428,Keerthi312,Online,5,5,No,74,Offline
429,Sravani351,Offline,2,5,No,64,Offline
430,Deepika170,Online,2,5,Yes,69,Offline
431,Varun725,Offline,5,5,Yes,73,Offline
432,Keerthi338,Online,2,5,No,85,Offline
433,Suresh207,Offline,3,3,No,62,Offline
434,Sneha41,Online,5,3,No,84,Online
435,Pavan517,Online,2,4,No,69,Offline
436,Nandini619,Offline,5,3,Yes,60,Online
437,Sai180,Offline,4,5,No,63,Offline
438,Lahari736,Offline,2,3,Yes,67,Offline
439,Vamsi60,Online,4,5,Yes,64,Offline
440,Suresh215,Offline,3,4,No,80,Offline
441,Shilpa416,Online,5,4,Yes,66,Online
442,Nandini922,Offline,5,4,Yes,79,Online
443,Kiran780,Offline,3,4,No,90,Offline
444,Bhavya98,Online,3,4,Yes,80,Offline
445,Shilpa913,Offline,4,4,No,60,Offline
446,Anil703,Offline,5,5,Yes,75,Offline
447,Ajay839,Online,5,4,No,80,Online
448,Harika33,Offline,4,3,No,77,Online
449,Bhavya497,Online,4,4,No,85,Offline
450,Keerthi120,Online,5,4,Yes,67,Online
451,Ramesh233,Online,5,3,Yes,81,Online
452,Pavan823,Offline,4,5,No,61,Offline
453,Nikhil611,Offline,5,4,No,71,Online
454,Nikhil295,Online,3,4,Yes,68,Offline
455,Mahesh759,Offline,3,3,No,70,Offline
456,Swathi364,Online,4,4,Yes,85,Offline
457,Charan971,Online,5,5,Yes,68,Offline
458,Vijay485,Online,5,3,Yes,77,Online
459,Keerthi377,Offline,2,3,Yes,88,Offline
460,Bhavya570,Online,5,3,Yes,87,Online
461,Pooja108,Offline,2,5,Yes,65,Offline
462,Vamsi534,Online,2,5,Yes,67,Offline
463,Sneha212,Online,2,5,No,69,Offline
464,Nandini349,Offline,2,3,No,78,Offline
465,Kiran734,Online,3,4,Yes,65,Offline
466,Ravi514,Online,2,5,Yes,79,Offline
467,Soujanya753,Online,3,3,Yes,80,Offline
468,Meghana599,Online,5,3,No,69,Online
469,Mahesh689,Offline,4,3,Yes,75,Online
470,Soujanya796,Offline,2,3,Yes,72,Offline
471,Lahari920,Online,4,5,No,83,Offline
472,Aishwarya349,Online,4,5,No,66,Offline
473,Ravi902,Online,2,5,Yes,78,Offline
474,Charan716,Offline,5,5,No,68,Offline
475,Ravi515,Offline,5,3,No,66,Online
476,Varun80,Offline,5,5,No,71,Offline
477,Keerthi920,Online,4,4,Yes,61,Offline
478,Nikhil643,Online,4,5,Yes,79,Offline
479,Anil446,Online,4,4,Yes,80,Offline
480,Sravani919,Online,5,4,Yes,60,Online
481,Anil241,Offline,2,3,Yes,62,Offline
482,Lokesh352,Offline,4,3,Yes,67,Online
483,Anusha82,Offline,3,4,No,60,Offline
484,Lahari242,Online,2,4,Yes,69,Offline
485,Ravi214,Online,4,3,No,69,Online
486,Deepika442,Offline,5,4,Yes,73,Online
487,Vijay357,Online,3,3,Yes,84,Offline
488,Aishwarya323,Offline,4,3,No,90,Online
489,Divya668,Online,3,3,No,65,Offline
490,Lokesh915,Online,4,4,No,80,Offline
491,Vijay264,Offline,4,5,Yes,62,Offline
492,Nandini415,Offline,3,3,Yes,61,Offline
493,Divya62,Online,4,4,No,80,Offline
494,Shilpa206,Offline,3,5,Yes,80,Offline
495,Vamsi654,Offline,4,4,No,88,Offline
496,Vamsi305,Online,3,3,No,73,Offline
497,Ramesh726,Offline,5,4,No,81,Online
498,Soujanya617,Online,2,5,No,70,Offline
499,Soujanya871,Offline,5,5,Yes,69,Offline
500,Swathi836,Offline,4,3,No,63,Online
